,Station Name,latitude,longitude
0,Adarsh Nagar metro station,28.716535,77.170452
1,AIIMS metro station,28.566896,77.208043
2,Akshardham metro station,28.617911,77.279415
3,Anand Vihar metro station,28.646886,77.315878
4,Arjan Garh metro station,28.480833,77.125833
5,Arthala metro station,28.676927,77.391773
6,Ashok Park Main metro station,28.671611,77.155
7,Ashram metro station,28.572208,77.258475
8,Azadpur metro station,28.707306,77.18
9,Badarpur Border metro station,28.493581,77.303061
10,Badkal Mor metro station (page does not exist),,
11,Bahadurgarh City metro station,28.690724,76.935098
12,Barakhamba Road metro station,28.62998,77.224526
13,Bata Chowk metro station,28.386111,77.316667
14,Bhikaji Cama Place metro station,28.570211,77.187888
15,Botanical Garden metro station,28.564194,77.334806
16,Brigadier Hoshiyar Singh metro station,28.697339,76.919244
17,Central Secretariat metro station,28.615,77.211806
18,Chandni Chowk metro station (Delhi),28.657806,77.230194
19,Chawri Bazar metro station,28.649611,77.226194
20,Chhatarpur metro station,28.506611,77.174889
21,Chirag Delhi metro station,28.540278,77.235833
22,Civil Lines metro station (Delhi),28.676889,77.225
23,Dabri Mor - Janakpuri South metro station,28.615906,77.085257
24,Dashrath Puri metro station,28.601944,77.0825
25,Delhi Aerocity metro station,28.54905,77.120789
26,Delhi Cantonment metro station,28.60871,77.140423
27,Delhi Gate metro station,28.640072,77.24038
28,Dhansa Bus Stand metro station,28.611911,76.978481
29,Dhaula Kuan metro station,28.591853,77.16169
30,Dilli Haat - INA metro station,28.575,77.207222
31,Dilshad Garden metro station,28.675892,77.321486
32,Durgabai Deshmukh South Campus metro station,28.589444,77.169444
33,Dwarka metro station,28.615,77.022806
34,Dwarka Mor metro station,28.619306,77.033389
35,Dwarka Sector 8 metro station,28.56562,77.06703
36,Dwarka Sector 9 metro station,28.574306,77.065194
37,Dwarka Sector 10 metro station,28.581099,77.057422
38,Dwarka Sector 11 metro station,28.5865,77.049389
39,Dwarka Sector 12 metro station,28.592303,77.040682
40,Dwarka Sector 13 metro station,28.597124,77.033374
41,Dwarka Sector 14 metro station,28.602306,77.026
42,Dwarka Sector 21 metro station,28.552349,77.058065
43,Delhi Airport Metro Express,,
44,East Azad Nagar metro station,28.664722,77.285
45,East Vinod Nagar - Mayur Vihar-II metro station,28.620039,77.305266
46,Escorts Mujesar metro station,28.370081,77.314954
47,ESI - Basaidarapur metro station,28.658271,77.127391
48,Ghevra metro station,28.685289,76.995773
49,Ghitorni metro station,28.493785,77.14915
50,Gokulpuri metro station,28.7025,77.286111
51,Golf Course metro station,28.567181,77.346029
52,Govindpuri metro station,28.544606,77.264286
53,Greater Kailash metro station,28.541832,77.238247
54,GTB Nagar metro station,28.698194,77.207
55,Guru Dronacharya metro station,28.481944,77.1025
56,Haiderpur Badli Mor metro station,28.729923,77.14913
57,Harkesh Nagar Okhla metro station,28.54292,77.27514
58,Hauz Khas metro station,28.543444,77.206344
59,Hindon River metro station,28.673415,77.40637
60,HUDA City Centre metro station,28.459269,77.072419
61,IFFCO Chowk metro station,28.472089,77.072554
62,IIT Delhi metro station,28.547222,77.193889
63,Inderlok metro station,28.673389,77.170306
64,IGI Airport metro station,28.557111,77.086694
65,Indraprastha metro station,28.6205,77.25
66,IP Extension metro station,28.631898,77.3109
67,ITO metro station,28.629371,77.24132
68,Jaffrabad metro station,28.682759,77.274748
69,Jahangirpuri metro station,28.725806,77.162806
70,Jama Masjid metro station,,
71,Jamia Millia Islamia metro station,28.562883,77.286231
72,Janakpuri East metro station,28.633013,77.086593
73,Janakpuri West metro station,28.6295,77.078194
74,Jangpura metro station,28.58331,77.239659
75,Janpath metro station,28.625059,77.219184
76,Jasola Apollo metro station,28.53813,77.283258
77,Jasola Vihar Shaheen Bagh metro station,28.545885,77.296644
78,Jawaharlal Nehru Stadium metro station,28.590381,77.233049
79,Jhandewalan metro station,28.644389,77.199806
80,Jhilmil metro station,28.675694,77.3125
81,Johri Enclave metro station,28.713167,77.290107
82,Jor Bagh metro station,28.586111,77.212222
